날짜,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험,소비판매지수,소비자물가지수
201901,3.7,9.8,-12.9,-7.0,9.5,5.4,-13.1,8.5,-10.0,-4.1,8.4,-1.4,-6.5,28.3,1.3,-0.05670103092783507,-0.0010506323998868972
201902,-12.2,-7.2,-11.6,-11.6,-7.8,-15.6,-10.9,-16.0,-6.4,-10.7,-5.6,-16.0,-12.7,-28.8,-7.4,-0.09107468123861562,0.004318191011690509
201903,16.1,-9.7,24.0,13.9,22.9,13.7,31.6,6.0,28.1,43.0,11.8,-0.9,16.3,7.2,14.0,0.16232464929859725,-0.0019131818227589026
201904,-3.2,-0.8,-3.3,-0.8,-11.3,-3.4,-4.4,5.2,1.8,-26.6,-17.4,1.4,-2.8,9.5,-3.0,-0.039655172413793016,0.003631924617386817
201905,4.3,9.1,9.7,8.4,12.6,4.7,0.6,1.7,11.6,0.6,14.4,9.7,9.1,-1.5,3.0,0.04667863554757612,0.001718921201033341
201906,-6.8,-6.8,-10.5,-4.9,-13.9,-4.4,-9.0,-5.7,-6.6,-4.4,-3.2,-3.5,-4.4,0.6,-3.4,-0.05660377358490565,-0.0016156223658331248
201907,7.6,-4.2,-6.0,-0.7,6.8,3.5,2.9,11.1,-3.5,7.8,5.6,10.0,3.1,26.2,7.7,0.00454545454545463,-0.0030555527635666158
201908,-3.5,10.7,-7.9,7.1,-2.2,1.7,-1.6,-8.3,-1.4,-1.6,8.6,28.8,4.2,-19.9,-3.2,0.009049773755656076,0.0023995080000402957
201909,0.8,26.6,5.3,-8.9,-12.0,-11.1,-6.9,-10.9,-5.6,-2.4,-15.5,-34.2,-13.2,7.9,-2.6,0.016143497757847403,0.003711340206185465
201910,7.5,-19.0,17.5,7.1,4.2,15.0,15.2,12.9,17.7,-3.3,1.4,17.6,9.9,6.4,7.1,0.02118270079435125,0.0024750987033288485
201911,5.4,2.2,-1.0,1.4,4.5,-1.0,6.1,1.4,-5.3,2.1,1.6,-11.2,-4.7,-6.5,-1.8,0.04062229904926529,-0.005597704940974224
201912,3.6,3.1,-2.6,2.9,-3.9,2.2,8.0,6.4,-9.2,12.2,0.9,21.4,12.0,1.7,5.4,0.009966777408637828,0.0023924166423738846
202001,-2.7,29.8,-15.9,-2.6,2.7,1.4,-28.0,-5.7,-13.2,-6.2,1.7,-7.3,-11.4,20.1,-2.8,-0.08059210526315785,0.0037204544770805814
202002,0.0,-35.9,-16.3,-11.4,-0.4,-7.0,-10.6,-54.0,-20.2,-10.8,-7.2,-34.3,-18.2,-22.2,-1.7,-0.12522361359570666,0.000699370566490165
202003,7.4,14.1,-7.8,-3.4,4.9,-10.4,55.6,-52.7,1.1,-4.9,-38.8,-36.1,-7.5,-4.2,11.2,0.09304703476482623,-0.0021964856230032304
202004,-4.3,2.0,15.7,-9.2,-0.6,7.6,9.7,52.5,22.4,3.5,22.8,4.3,10.9,5.9,-3.5,0.018709073900841977,-0.0044026415849509615
202005,4.6,16.0,35.8,-3.2,22.5,5.4,6.9,30.3,33.7,10.8,23.0,55.0,22.8,-3.4,1.4,0.08723599632690537,-0.000603015075376856
202006,1.6,-18.6,-13.0,2.6,0.5,-0.9,8.1,8.0,-10.5,-8.4,-4.3,7.1,-8.8,3.6,2.0,-0.01266891891891897,0.0027152051488334994
202007,0.8,2.5,-11.5,4.2,-12.8,5.2,-13.8,13.3,-5.1,1.1,10.1,15.0,4.6,33.2,3.3,-0.05132591958939259,-0.0008023267475679718
202008,1.4,7.0,-13.0,1.9,16.0,-6.4,-18.4,-11.8,-7.9,-2.9,4.3,35.4,-0.7,-17.3,-5.4,0.007213706041478751,0.005620796948710316
202009,5.8,34.0,6.4,-3.3,-17.1,3.8,24.9,-14.6,-11.0,-0.7,-17.7,-48.6,-19.8,9.1,1.5,0.056401074306177135,0.00548956981734694
202010,-2.5,-19.7,21.8,1.0,-5.6,-5.7,-5.5,21.9,40.0,-5.2,7.5,37.4,17.1,-1.2,1.7,-0.01864406779661021,-0.005558864403414576
202011,6.2,-1.9,-4.1,0.8,11.2,2.0,5.7,4.5,-9.5,-0.5,1.9,-0.8,-3.2,-7.9,-1.0,0.02763385146804831,-0.00089838291076072
202012,7.1,4.8,-13.6,4.7,-11.1,7.0,-0.1,-28.7,-41.1,12.1,-14.6,-22.7,-27.2,6.9,7.3,0.0008403361344537785,0.0023978419422518993
202101,-2.9,0.1,-10.2,1.6,13.5,0.2,-12.8,4.0,-15.5,-1.1,15.2,-15.1,0.3,6.3,-6.2,-0.05793450881612083,0.007076647064686581
202102,-8.6,9.6,-0.1,-3.3,-12.0,-9.7,-14.9,6.1,38.4,-9.1,4.3,24.3,4.4,-6.2,-5.6,-0.053475935828877,0.005344418052256383
202103,13.4,-16.8,29.5,14.6,13.8,13.5,34.1,24.9,48.0,34.1,7.9,16.1,26.7,-1.5,17.3,0.1252354048964217,0.0025595589683009567
202104,-3.7,2.9,-1.1,-1.2,-10.2,-0.2,-0.9,3.9,3.9,-19.6,-9.8,-0.3,-0.2,4.0,-5.9,-0.005020920502092019,0.001374705420267075
202105,6.3,11.9,4.5,0.9,12.7,-3.3,-3.7,3.0,9.1,4.5,11.5,18.7,11.0,-0.8,0.0,0.032800672834314426,0.0006864090998235373
202106,-3.6,-11.1,-3.8,0.8,-4.9,5.1,3.2,5.9,-2.3,-7.8,-2.5,2.3,-5.7,2.7,3.0,-0.02687296416938112,0.0
202107,5.2,1.0,-7.6,7.4,14.2,3.0,-1.5,-12.6,-8.9,9.1,7.4,1.6,-3.7,23.6,1.8,0.0058577405857740406,0.0020578147966683336
202108,-1.3,8.1,-11.1,-2.6,-8.8,-5.1,-15.4,-5.6,-5.3,-5.3,5.4,16.5,-1.5,-19.8,-4.0,-0.030782029950083167,0.004791707412477919
202109,-0.2,37.4,19.0,-3.7,-14.3,-5.1,-8.8,7.2,8.2,4.8,-11.1,-25.8,-1.5,11.6,-0.3,0.05321888412017173,0.004087591240875987
202110,6.5,-22.7,20.0,11.5,10.3,13.6,18.8,19.3,18.8,-0.9,4.5,20.9,17.4,-6.8,2.5,0.018744906275468542,0.0017446932247746627
202111,3.9,-0.3,-5.8,2.7,-0.4,-3.8,3.8,10.6,-5.8,-5.4,-5.2,4.1,1.9,-4.3,0.8,-0.0023999999999999577,0.005031446540880502
202112,1.6,2.7,-5.1,-0.1,-11.4,5.5,4.7,-19.6,-21.0,18.6,4.0,-0.2,-8.6,8.7,5.3,0.020048115477145245,0.0016366612111293755
202201,-0.3,28.4,-9.7,-1.9,11.3,2.2,-22.4,3.5,-12.7,-5.1,3.2,-4.0,-6.1,19.6,-7.0,-0.07625786163522019,0.006247597078046896
202202,-9.6,-37.9,-18.8,-10.7,-7.5,-12.7,-0.2,-16.0,-7.9,-16.4,-8.3,-7.1,-17.4,-24.0,-5.0,-0.08170212765957441,0.005826726525933745
202203,13.2,11.4,23.5,20.3,4.2,15.9,12.2,26.1,39.8,40.3,10.7,-8.8,21.5,8.1,18.0,0.13067655236329934,0.007217473884140624
202204,-3.3,6.5,14.3,6.0,-2.9,-3.3,8.5,29.9,21.3,-19.5,-8.6,11.6,19.7,0.9,-7.0,-0.021311475409836023,0.0074486139920799666
